N°,Año,Título,Protagonistas,Director,Género,Ub
2,1996,MARCIANOS ATACAN,JACK NICHOLSON,TIM BURTON,HUMOR NEGRO - FICCION,15
31,2012,MAREA NEGRA,Halle Berry,,"Drama, Suspenso",7
26,,MARLEY,BOB MARLEY,,DOCUMENTAL MUSICA,11
21,2012,MARTYRS,MORJANA ALAUUI,PASAL LAUGIER,"TERROR, SUSPENSO",2
12,1999,MATRIX,,,"Accion, Ciencia F.,  Suspenso",3
13,2003,MATRIX RELOADED,,,"Accion, Ciencia F. Suspenso",3
14,2003,MATRIX REVOLUTIONS,,,"Accion, Ciencia F. Suspenso",3
40,2011,MEDIANOCHE EN PARIS,OWEN WILSON ,,"DRAMA, COMEDIA",2
5,2010,MEGAMIND,,,"Animada, aventura, fam",4
21,,MEMORIAS DE MIS PUTAS TRISTES,EMILIO ECHEVARRIA,,DRAMA,9
22,,MI CAMINO,KOREA,,DRAMA DE GUERRA,11
24,,MI NOMBRE ES KHAN,TANAY CHHEDA,,DRAMA ,12
39,,MI NOVIO ES UN ZOMBI,,,"COMEDIA, FANTASIA",16
1,2013,MI VILLANO FAVORITO 2,,,ANIMADA,14
26,,MIENTRAS DUERMES,LUIS TOSAR,,SUSPENSO TERROR,9
27,1994,MILAGRO EN LA CALLE 34,NATALY WOOD,GEORGE SEATON,FICCION ILUSION,14
13,,MILLENIUM 1,NOOMI RAPACE,,"SUSPENSO, DRAMA",10
14,,MILLENIUM 2,NOOMI RAPACE,,"SUSPENSO, DRAMA",10
15,,MILLENIUM 3,NOOMI RAPACE,,"SUSPENSO, DRAMA",10
38,,MIMIC,MIRA SORVINO,,TERROR FICCIÓN,13
16,,MISION IMPOSIBLE 1,TOM CRUISE,,"ESPIONAJE, ACCIÓN",10
17,,MISION IMPOSIBLE 2,TOM CRUISE,,"ESPIONAJE, ACCIÓN",10
18,,MISION IMPOSIBLE 3,TOM CRUISE,,"ESPIONAJE, ACCIÓN",10
19,,MISION IMPOSIBLE 4,TOM CRUISE,,"ESPIONAJE, ACCIÓN",10
5,,MISTER FLYNN,ROBERT DE NIRO,,"DRAMA, COMEDIA",9
22,2004,MONSTER ASESINA EN SERIE,CHARLIZE THERON,PATTY JENKINS,"Drama, crimen",8
32,,MONSTERS ZONA INFECTADA,WITHNEY ABLE,GARETH EDWARDS,"DRAMA, FANTASIA",15
29,2009,MONSTRUOS VS ALIENIGENAS,,,"Animada, aventura, fam",4
39,2011,"MONSTRUOS, S.A.",,,"Animada, aventura, fam",4
28,,MOONWALKER,MICHAEL JACKSON,,MUSICAL,11
20,,MUD EL NIÑO FUGITIVO,M. MAcCUNAUGHEY,,DRAMA,16
21,,MULAN,XU JIAO,,"DRAMA, MARCIALES",11
39,1998,MULAN,DISNEY,TONY BANCROFT,ANIMADA,14
20,2011,MURALLA,WODDY HARRELSON,OREN MOVERMAN,"Drama, policial",8
18,1989,NACIDO EL CUATRO DE JULIO,TOM CRUISE,OLIVER STONE,DRAMA BELICO,14
34,,NINE,DANIEL DAY-LEWIS,,MUSICAL,11
4,2011,NO HABRA PAZ PARA LOS MALV,JOSE CORONADO,ENRIQUE URBIZÚ,"Acción, Drama",8
11,2011,NO TEMAS A LA OSCURIDAD,GUY PEARCE,,"SUSPENSO, TERROR",2
11,2013,OBLIVION,TOM CRUISE,,"ACCION, FANTASIA",16
31,2010,OCEANOS,DISNEY,DISNEY NATURE,DOCUMENTAL,14
23,,OCEANS ELEVEN,CLONNEY-PITT-DAMON,,"COMEDIA, SUSPENSO",10
25,,OCEANS TRECE,CLONNEY-PITT-DAMON,,"COMEDIA, SUSPENSO",10
24,,OCEANS TWELVE,CLONNEY-PITT-DAMON,,"COMEDIA, SUSPENSO",10
28,2008,OUTLANDER,JIM CAVIEZEL,,"Ciencia F. Aventura, Drama",5
33,2002,PANDILLAS DE NUEVA YORK,LEO DI CAPRIO,,"MAFFIA, ACCIÓN",1
11,,PAPILLON,,,,16
37,2011,PASE LIBRE,OWEN WILSON,,COMEDIA,12
6,,PASSION,NAOMI RAPACE,BRIAN DE PALMA,DRAMA ,16
25,,PATTON,GEORGE SCOTT,,BIOGRAFIA GUERRA,13
24,2011,PAUL,,,"Animada, aventura, fam",4
31,,PECADO ORIGINAL,JOLIE - BANDERAS,,DRAMA SUSPENSO,9
31,2010,PERCY JACKSON & THE OLYMPIANS,LOGAN LERMAN,,"Ciencia F. Aventura, Drama",5
13,2010,PERDEDORES,Chris evans-Zoe Saldana,,"Drama, Accion",7
15,2003,PETER PAN,,,"Animada, aventura, fam",4
31,1940,PINOCHO,,,"Animada, aventura, fam",4
24,2010,PIRANHA 3D,RICHARD DREIFUSS,ALEXANDRE AJA,"Acción, Ficcion",8
28,2011,PLANETA HUMANO 1,BBC,BBC,DOCUMENTAL,14
29,2011,PLANETA HUMANO 2 Y 3,BBC,BBC,DOCUMENTAL,14
34,1986,PLATOON,Oliver Stone,,Drama De Guerra,7
37,2012,PODER SIN LIMITES,Michael B. Jordan,,"Ciencia F. Aventura, Drama",5
13,,POR UNOS DOLARES MAS,CLINT EASTWOOD,,WESTERN ,12
17,,POSESION INFERNAL,,,TERROR,16
25,,PREMIO URGENTE,Joseph Gordkon-Levitt,,ACCION SUSSPENSO,9
8,,PRESAGIO,NICHOLAS CAGE,,FICCION SUSPENSO,12
36,2011,PRIEST EL VENGADOR,PAUL BETTANNY,SCOTT STEWART,Vampiros terror,8
33,,PRIMERA FILA,VICENTE FERNANDEZ,,CONCIERTO MUSICAL,11
22,2010,PRINCIPE DE PERSIA,JAKE GYLLENHAAL,,"Accion, Aventura",5
40,2011,PRINCIPE DEL DESIERTO,Antonio Banderas,,"Aventura, acción",5
22,2010,PRINCIPIANTES,EWAN McGREGOR,,COMEDIA,6
33,2012,PROMETEO,Noomi Rapace,,"Ciencia Ficción, Drama",5
2,2012,PROTEGIENDO AL ENEMIGO,Denzel Washington,,Accion Policial,7
6,2007,PRUEBA DE FE,HILARY SWANK,,"TERROR, SUSPENSO",1
10,1994,PULP FICTION,Jhon Travolta,,"CRIMEN,VIOLENCIA",6
35,2011,PUNTCTURE,CHRIS EVANS,,"DRAMA, SUSPENSO",15
19,1991,PUNTO DE QUIEBRE,PATRICK SWAYZE,KATHRYN BIGELOW,ACCION POLICIAL,14
38,,QUE PASO EN LAS VEGAS,CAMERON DÍAZ,,COMEDIA,16
28,2012,QUE SE PUEDE ESPERAR……..,CAMERON DIAZ,,COMEDIA,12
27,2011,QUIERO MATAR A MI JEFE,COLLIN FARREL,,COMEDIA,2
8,1990,QUIGLEY DOWN UNDER,TOM SELLECK,SIMON WINCER,WESTERN,15
8,,RAIN MAN,DUSTIN HOFFMAN,,"DRAMA, FAMILIA",16
34,2012,RALPH EL DEMOLEDOR,RALPH ,DISNEY ,ANIMADA,14
5,,RAMBO 1,S. STALLONNE,,THRILLER DE GUERRA,10
6,,RAMBO 2,S. STALLONNE,,THRILLER DE GUERRA,10
7,,RAMBO 3,S. STALLONNE,,THRILLER DE GUERRA,10
8,,RAMBO 4,S. STALLONNE,,THRILLER DE GUERRA,10
5,2010,RED,Bruce Willis,,"ACCIÓN, POLICIAL",6
9,,RED CLIFF 1 y 2,TONY LEUNG,,"ÉPICA, MARCIALES",11
9,2012,REGRESO DEL INFIERNO,TOM HARDY,,"TERROR, SUSPENSO",2
7,2010,REPOMEN,Forrest Withaker,,"ACCIÓN, TERROR",6
38,2006,RESCATE EN LA ANTARTIDA,PAUL WALKER,FRANK MARSHALL,Aventura Disney,8
2,2008,RETRATOS DEL MAS ALLA,JOSHUA JACKSON,,"Horror, MIsterio, Suspenso",2
40,2011,RIG,Vitali Klitschenco,,"Box, Biografia",7
33,2011,RIO,,,"Animada, aventura, fam",4
33,,RIO MISTICO,SEAN PENN,,DRAMA  SUSPENSO,13
9,1991,ROBIN HOOD,Kevin Kostner,,AVENTURA FICCIÓN,6
9,,ROBOSAPIEN: REBOOTED,,SEAN MACNAMARA,ANIMADA,16
33,2012,RURONI KENSHIN,TAKERU SATO,KEISHI OHTOMO,ARTES MARCIALES,14
23,1998,SALVANDO AL SOLDADO RYAN,TOM HANKS,,DRAMA DE GUERRA,1
25,,SAVAJES,TRAVOLTA - DEL TORO,,THRILLER ,12
35,2005,SAW -DECIDE RÁPIDO O MUERE DESPACIO,,,"Terror, crimen, suspenso",3
36,2006,SAW -III,,,"Terror, crimen, suspenso",3
37,2007,SAW -IV,,,"Terror, crimen, suspenso",3
34,2004,SAW -TODO PUZZLE TIENE SUS PIEZAS,,,"Terror, crimen, suspenso",3
38,2008,SAW -V,,,"Terror, crimen, suspenso",3
39,2009,SAW -VI,,,"Terror, crimen, suspenso",3
40,2010,SAW -VII,,,"Terror, crimen, suspenso",3
31,2010,SCOTT PILGRIM VS. THE WORLD,MICHAEL CERA,,"Acción, Comedia, Ciencia F.",2
7,2008,SE BUSCA,Angelina Jolie-Mcavoy,,"Accion, Ficcion",7
2,,SED SANGRIENTA,KANG-HO SONG,,"TERROR, VAMPIROS",9
12,2012,SEIS SESIONES DE SEXO,"HELEN HUNT, HAWKES",BEN LEWIN,DRAMA,15
14,2002,SEÑALES,MEL GIBSON,,"FICCION, SUSPENSO",1
18,1973,SERPICO,AL PACINO,,DRAMA POLICIAL,1
2,,SERPIENTE BLANCA,JET LI,,ARTES MARCIALES,11
38,2000,SESENTA SEGUNDOS,Nicholas Cage,,"Accion, Drama",7
18,2004,SETUP,Bruce Willis-50cent,,Accion Policial,7
20,,SEVEN,PIT - FREEMAN,,SUSPENSO - CRIMEN,13
14,,SHAFT,,,,16
10,,SHANGHAI NOON- KNIGHTS,,,,16
27,2011,SHERLOCK HOLMES J SOMBRAS,Robert Downey Jr.,,"Accion, Suspenso",7
11,2001,SHREK,,,"Animada, aventura, fam",4
12,2004,SHREK 2,,,"Animada, aventura, fam",4
13,2007,SHREK 3,,,"Animada, aventura, fam",4
14,2010,SHREK 4,,,"Animada, aventura, fam",4
38,2012,SI FUERAS YO,RYAN REYNOLDS,,COMEDIA,12
37,2011,SI TU FUERAS YO,RYAN REYNOLDS,,"COMEDIA, DRAMA",2
15,,SIETE ALMAS,WILL SMITH,,DRAMA,12
35,,SIETE AÑOS EN EL TIBET,BRAD PITT,,DRAMA PASIONAL,13
5,2011,SIETE DIAS EN UTOPIA,ROBERT DUVALL,MATT RUSSELL,"Drama, golf",8
20,,SILENT HILL,RADHA MITCHELL,,"TERROR, SUSPENSO",9
11,,SIN CITY,ROBERT RODRIGUEZ,,FICCION CORTOS,12
32,2011,SIN CONTROL,Gina Carano-Banderas,,Accion Policial,7
38,2012,SIN ESCAPE,Taylor Lautner,,"Ciencia F. Aventura, Drama",5
19,,SIN LEY,TOM HARDY,,MAFFIA ACCION,9
20,,SIN MIEDO,JET LI,,"DRAMA, MARCIALES",11
14,2012,SIN PROTECCION,ROBERT REDFORD,ROBERT REDFORD,Thriller político,14
9,1999,SOLDADO UNIVERSAL EL REGRESO,Van Damme,,"Accion, Ficcion",7
14,,SOLO DIOS PERDONA,RYAN GOSSLING,NICOLAS WINDING,"ACCION, DRAMA",16
24,2010,SOLOMON KANE,JAMES PUREFOY,,"Accion, Aventura",5
28,2011,SOLOS EN LA OSCURIDAD,STEVE RAILSBACK,BRAD SYKES,"Horror, Suspenso",8
35,2012,SOMBRAS TENEBROSAS,JHONNY DEEP,TIM BURTON,Vampiros comedia,8
10,´10-12,STAR TREK 1 y STAR TREK 2,CHRIS PINE,,"ACCIÓN, FICCIÓN",1
35,,STAR WAR 1 ,HARRINSON FORD,,FICCION FUTURISTA,11
36,,STAR WAR 2,HARRINSON FORD,,FICCION FUTURISTA,11
37,,STAR WAR 3,HARRINSON FORD,,FICCION FUTURISTA,11
38,,STAR WAR 4,HARRINSON FORD,,FICCION FUTURISTA,11
39,,STAR WAR 5,HARRINSON FORD,,FICCION FUTURISTA,11
40,,STAR WAR 6,HARRINSON FORD,,FICCION FUTURISTA,11
3,1994,STARGATE,KURT RUSSELL,,FICCION,1
5,,STOKER,,,,16
16,2010,STONE,ROBERT DE NIRO,JOHN CURRAN,"Suspenso, Drama",8
12,2008,STREET KINGS,Keanu Reeves,,"Drama, Accion Policial",7
2,1999,STRIPTEASE,DEMI MORE,ANDREW BERGMAN,Drama,8
4,,SUEÑOS DE FUGA,MORGAN FREEMAN ,,DRAMA  PRISION,12
27,,SUPERMAN EL HOMBRE DE ACERO,,,,16
6,,TANGO Y CASH,STALLONE - RUSSELL,,POLICIAL,12
1,1975,TARDE DE PERROS,AL PACINO,SIDNEY LUMET,DRAMA - SUSPENSO,15
17,2009,TEKKEN,JON FOO,,ARTES MARCIALES,11
30,2011,TEKKEN venganza sangrienta,,,"Animada, aventura, fam",4
29,,TETRO,VINCENT GALLO},FRANCIS FORD COPPOLA,,16
39,2011,THE BEAVER,MEL GIBSON,,Drama,2
3,,THE BONE COLLECTOR,DENZEL WASHINGTON,,SUSPENSO POLICIAL,13
7,2005,THE BROTHERS GRIMM,HEAT LEDGER,,"Suspenso, Ciencia F.",2
5,2006,THE COVENANT,STEVEN STRAIT,,THriller TERROR,2
33,,THE CROODS,,,ANIMADA,16
26,,THE FLY,DAVID CRONENBERG,,TERROR,16
18,2012,THE GREY,LIAM NEESON,JOE CARNAHAN,"Drama, acción",8
5,,THE GUILT TRIP (EL VIAJE CULPA),BARBRA STREISAND,,COMEDIA,14
10,,THE HIT LIST,CUBA GOODING JR,,THRILER POLICIAL,14
33,2011,THE INNKEEPERS,SARA PAXTON,TI WEST,Cortos de terror,8
33,2012,THE KILLER WHO NEVER KILLS,Lee Fung-Bok,Lee Fung-Bok,COMEDIA ACCION,15
35,,THE LIABILITY,TIM ROTH,,"SUSPENSO, POLICIAL",16
1,2001,THE LORD OF THE RINGS - THE FELLOWSHIP ,,,"Accion, Aventura, Fantasia",3
2,2003,THE LORD OF THE RINGS - THE RETURN OF THE KING,,,"Accion, Aventura, Fantasia",3
3,2002,THE LORD OF THE RINGS - THE TWO TOWERS,,,"Accion, Aventura, Fantasia",3
3,,THE LOST BLADESMAN,DONNIE YEN,,ARTES MARCIALES,11
30,,THE MUSIC OF AMERICA SOUL,NEW ORLEANS,,CONCIERTO MUSICAL,11
7,2006,THE PRESTIGE,HUGH JACKMAN,,"SUSPENSO, DRAMA",1
16,,THE PURGE. LA NOCHE DE LAS BESTIAS,,,TERROR,16
13,,THE RUNNING MAN,,,,16
26,,THE SHINING,JACK NOCHOLSON,,TERROR SUSPENSO,13
6,2009,THE UNINVITED,EMILY BROWNING,,"Drama, Suspenso",2
18,2013,THE WICKED,DEVON WERKHEISER,PETER WINDTHER,HORROR,15
13,2011,THOR,CRIS HEMSWORTH,,"Accion, Aventura, Ciencia F.",5
1,2011,THOR- TALES ASGARD,,,"Animada, aventura, fam",4
20,2003,TIEMPO LIMITE,Denzel Washington,,"Drama, Accion Policial",7
26,2011,TIN TIN,JAMIE BELL,STEVEN SPIELBERG (D),Aventura animada,8
37,1997,TITANIC,LEONARDO DI CAPRI,,"AVENTURA, DRAMA, HISTORIA",6
8,,TOP GUN,TOM CRUISE,,DRAMA - COMBATE AEREO,13
19,1995,TOY STORY,,,"Animada, aventura, fam",4
20,1999,TOY STORY 2,,,"Animada, aventura, fam",4
21,2010,TOY STORY 3,,,"Animada, aventura, fam",4
3,1996,TRAINSPOTTING,EWAN MC GREGOR,DANNY BOYLE ,DRAMA - COMEDIA,15
22,2007,TRANSFORMER,,,"Accion, Aventura, Ciencia F.",3
23,2009,TRANSFORMER 2,,,"Accion, Aventura, Ciencia F.",3
24,2011,TRANSFORMER 3,,,"Accion, Aventura, Ciencia F.",3
11,2006,TRAS LAS LINEAS ENEMIGAS,Gene Hackman,,"Drama, Accion De Guerra",7
9,,TRON,JEFF BRIDGGES,,"AVENTURA, FICCION",10
10,,TRON LEGACY,JEFF BRIDGGES,,"AVENTURA, FICCION",10
25,2004,TROYA,BRAD PITT,,ÉPICA HISTÓRICA,1
8,,TRUE LEYEND,VINCENT ZHAO,,ARTES MARCIALES,11
24,2010,TRUST,CLIVE OWENS,,"DRAMA, SUSPENSO",6
35,2010,ULTRAMARINES,WARHAMMER JUEGO,MARTYN PICK,ANIMADA,14
18,2006,ULTRAVIOLETA,MILLLA JOVOVICH,,"Accion, Aventura, Ciencia F.",5
11,2009,UN CIUDADANO EJEMPLAR,GERARD BUTLER,,"SUSPENSO, VENGANZA",1
22,,UN CUARTO TARDE,KHRISTOPHER WALKEN,YARON ZIBERMAN,"DRAMA, COMEDIA",15
19,,UN DIA DE FURIA,MICHAEL DOUGLAS,,DRAMA - SUSPENSO,13
38,2011,UN MONSTRUO EN PARIS,FRANCIA,BIBO BERGERON,ANIMADA,14
13,2012,UN PLAN PERFECTO,"COLIN FIRTH, C. DÍAZ",MICHAEL HOFFMAN,COMEDIA,15
39,2012,UNA AVENTURA EXTRAORDINARIA,SURAJ SHARMA,ANG LEE,"DRAMA, ACCION",15
31,,UNA AVENTURA REAL,,NIKOLAJ ARCEL,DRAMA HISTÓRICA,15
6,,UNA CANCION PARA CLARION,,,,16
13,,UNA PROPOSICION INDECENTE,ROBERT REDFORD,,DRAMA - INTRIGA,13
32,,UNDERWORLD 1,KATE BECKINSALE,,VAMPIROS-WOLFMEN,10
33,,UNDERWORLD 2,KATE BECKINSALE,,VAMPIROS-WOLFMEN,10
34,,UNDERWORLD 3,KATE BECKINSALE,,VAMPIROS-WOLFMEN,10
35,,UNDERWORLD 4,KATE BECKINSALE,,VAMPIROS-WOLFMEN,10
36,2009,UP,DISNEY PIXAR,PETE DOCTER,ANIMADA,14
17,2006,V FOR VENDETTA,NATALIE PORTMAN,,"TERROR, SUSPENSO",1
39,2012,VALIENTE,DISNEY,,ANIMADO,12
16,,VAQUEROS DEL ESPACIO,,,,16
35,2008,VIAJE AL CENTRO DE LA TIERRA,BRENDN FRASER,,"ACCIÓN, SUSPENSO, FICCIÓN",6
1,87-10,WALL STRET COLLECTION (1y2),MICHAEL DOUGLAS,,"DRAMA, SUSPENSO",6
34,2008,WALL.E,,,"Animada, aventura, fam",4
32,2011,WINTER EL DELFIN,HARRY CONNIK,,"DRAMA, COMEDIA",2
14,2012,WU DANG,VINCET ZHAO,,ACCION ARTES MARCIALES,12
16,2003,X2: X-MEN UNITED,,,"Accion, Aventura, Ciencia F.",3
15,2000,X-MEN,,,"Accion, Aventura, Ciencia F.",3
17,2006,X-MEN X3: THE LAST STAND,,,"Accion, Aventura, Ciencia F.",3
18,2009,"X-MEN, ORIGENES",,,"Accion, Aventura, Ciencia F.",3
19,2011,"X-MEN, PRIMERA GENERACIÓN",,,"Accion, Aventura, Ciencia F.",3
8,,,,,,5
10,,,,,,5
12,,,,,,5
